Reference, Quantity, Value, Footprint, DigikeyPN, MPN, Description,Page Link
C1 C2 ,2,1uF,Capacitors_THT:CP_Radial_D4.0mm_P1.50mm,493-15541-ND,CL21F105ZBFNNNE,,
C3 ,1,0.1uF,Capacitors_THT:CP_Radial_D6.3mm_P2.50mm,493-12624-1-ND,CL21B104KCFNNNE,,
D1 ,1,MBR0540T1G,Digikey:DO-41,1N5817FSCT-ND,MBR0540T1G,DIODE SCHOTTKY 40V 500MA SOD123,
D2 D3 ,2,1N914BTR,Digikey:DO-35,1N914BCT-ND,1N914BTR,DIODE GEN PURP 100V 200MA DO35,
J1 ,1,DISPLAY,Connectors_IDC:IDC-Header_2x10_Pitch2.54mm_Straight,AWHW 20G-SMD,,,
J2 ,1,Barrel_Jack,Connectors:BARREL_JACK,,,,
J3 ,1,PWR_SW,Connectors:PINHEAD1-2,,,,
J4 ,1,JTAG_SWD,Connectors_IDC:IDC-Header_2x10_Pitch2.54mm_Straight,‎AWHW 20G-SMD,,,
J5 ,1,Relay_Terminal,TerminalBlock_RND:TerminalBlock_RND_205-00290_Pitch5.08mm,,,,
Q1 Q2 ,2,2N3904,TO_SOT_Packages_THT:TO-92_Molded_Narrow,2N3904FS-ND,,,
R1 R2 R5 R6 ,4,4.7k,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,CF14JT4K70CT-ND,,,
R3 R4 ,2,10k,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,CF14JT10K0CT-ND,,,
U1 ,1,hackaBLE_0.3,hackaBLE_0:hackaBLE_0.3,,,,
U2 ,1,L7805CV,Digikey:SOT-23-3,AP2210N-5.0TRG1DICT-ND,AP2210N-5.0TRG1 ,,
U3 ,1,MCP23017_SP,Housings_DIP:DIP-28_W7.62mm_Socket,MCP23017-E/SP-ND ,MCP23017-E/SP,,
,,DIP-23 Socket,Socket for MCP23017,ED3050-5-ND,ED281DT,,
